ノードＩＤ,緯度経度桁数コード,緯度,経度,高さ
00001B000000000309CEAFA662D6FFC1,3,35.42.27.106,139.45.34.164,0,
00001B000000000309CEAD2662E8FFC1,3,35.42.26.612,139.45.37.742,0,
00001B000000000309CEADA662EDFFC1,3,35.42.26.735,139.45.38.712,0,
00001B000000000309CEAE2662EDFFC1,3,35.42.26.850,139.45.38.758,0,
00001B000000000309CEB12662EC7FC1,3,35.42.27.416,139.45.38.489,0,
00001B000000000309CEB0A662ECFFC1,3,35.42.27.378,139.45.38.558,0,
00001B000000000309CEA22662EA7FC1,3,35.42.24.428,139.45.38.079,0,
00001B000000000309CEA7A662EE7FC1,3,35.42.25.547,139.45.38.859,0,
00001B000000000309CEA62662EE7FC1,3,35.42.25.219,139.45.38.889,0,
00001B000000000309CEAE2662F37FC1,3,35.42.26.862,139.45.39.885,0,
00001B000000000309CEAE2662F57FC1,3,35.42.26.846,139.45.40.206,0,
00001B000000000309CEAE2663047FC1,3,35.42.26.855,139.45.43.208,0,
00001B000000000309CEAE266305FFC1,3,35.42.26.855,139.45.43.545,0,
00001B000000000309CEAE26630E7FC1,3,35.42.26.851,139.45.45.210,0,
00001B000000000309CEAE26630FFFC1,3,35.42.26.848,139.45.45.537,0,
00001B000000000309CEAE2663147FC1,3,35.42.26.845,139.45.46.463,0,
00001B000000000309CEADA66314FFC1,3,35.42.26.745,139.45.46.557,0,
00001B000000000309CEAE266319FFC1,3,35.42.26.827,139.45.47.508,0,
00001B000000000309CEADA6631FFFC1,3,35.42.26.788,139.45.48.708,0,
00001B000000000309CEADA663217FC1,3,35.42.26.776,139.45.49.021,0,
00001B000000000309CEB0A663257FC1,3,35.42.27.342,139.45.49.835,0,
00001B000000000309CEADA663257FC1,3,35.42.26.756,139.45.49.836,0,
00001B000000000309CF312662BAFFC1,3,35.42.53.030,139.45.28.591,0,
00001B000000000309CF2CA662BB7FC1,3,35.42.52.149,139.45.28.699,0,
00001B000000000309CF23A662C9FFC1,3,35.42.50.351,139.45.31.513,0,
00001B000000000309CF2DA662C47FC1,3,35.42.52.390,139.45.30.462,0,
00001B000000000309CF2E2662C77FC1,3,35.42.52.489,139.45.31.042,0,
00001B000000000309CF19A662C17FC1,3,35.42.48.316,139.45.29.847,0,
00001B000000000309CF1DA662CAFFC1,3,35.42.49.189,139.45.31.774,0,
00001B000000000309CF1AA662CB7FC1,3,35.42.48.517,139.45.31.864,0,
00001B000000000309CF14A662CAFFC1,3,35.42.47.347,139.45.31.753,0,
00001B000000000309CF09A662CDFFC1,3,35.42.45.156,139.45.32.344,0,
00001B000000000309CF08A662C67FC1,3,35.42.44.902,139.45.30.852,0,
00001B000000000309CF08A662C87FC1,3,35.42.44.941,139.45.31.204,0,
00001B000000000309CF1CA662C17FC1,3,35.42.48.998,139.45.29.839,0,
00001B000000000309CF012662B0FFC1,3,35.42.43.457,139.45.26.519,0,
00001B000000000309CF00A662ABFFC1,3,35.42.43.376,139.45.25.530,0,
00001B000000000309CF082662ACFFC1,3,35.42.44.814,139.45.25.732,0,
00001B000000000309CF392662C7FFC1,3,35.42.54.695,139.45.31.190,0,
00001B000000000309CF392662C8FFC1,3,35.42.54.625,139.45.31.386,0,
00001B000000000309CF3B2662C37FC1,3,35.42.55.063,139.45.30.240,0,
00001B000000000309CF3B2662C27FC1,3,35.42.55.004,139.45.30.077,0,
00001B000000000309CF36A662BB7FC1,3,35.42.54.163,139.45.28.660,0,
00001B000000000309CF362662BAFFC1,3,35.42.54.059,139.45.28.506,0,
00001B000000000309CF342662B77FC1,3,35.42.53.603,139.45.27.880,0,
00001B000000000309CF332662B6FFC1,3,35.42.53.492,139.45.27.713,0,
00001B000000000309CF302662B1FFC1,3,35.42.52.801,139.45.26.717,0,
00001B000000000309CF2EA662AF7FC1,3,35.42.52.539,139.45.26.220,0,
00001B000000000309CF1E2662AA7FC1,3,35.42.49.234,139.45.25.231,0,
00001B000000000309CEFCA6628CFFC1,3,35.42.42.584,139.45.19.307,0,
00001B000000000309CEFB26628B7FC1,3,35.42.42.290,139.45.19.040,0,
00001B000000000309CEFA266289FFC1,3,35.42.42.027,139.45.18.774,0,
