リンクＩＤ,起点ノードID,終点ノードID,経路の種類,供用開始時間,供用終了時間,供用開始日,供用終了日,供用制限曜日,方向性,通行制限,有効幅員,有効幅員緯度,有効幅員経度,縦断勾配1,縦断勾配1緯度,縦断勾配1経度,縦断勾配2,横断勾配,横断勾配緯度,横断勾配経度,路面状況,段差,段差緯度,段差経度,最小階段段数,最大階段段数,手すり,屋根の有無,蓋のない溝、水路の有無,バス停の有無,バス停の緯度,バス停の経度,視覚障害者誘導用ブロック,補助施設の設置状況,補助施設の緯度,補助施設の経度,エレベーター種別,エレベーターの緯度,エレベーターの経度,信号の有無,信号の緯度,信号の経度,信号種別,日交通量,主な利用者,通り名称または交差点名称,エスコートゾーン,リンク延長
00001B000000000309CEDFA662E07FC2,00001B000000000309CEDF2662E0FFC1,00001B000000000309CEDFA662E07FC1,4,,,,,,0,0,3,35.42.36.719,139.45.36.094,0,,,0,0,,,0,1,35.42.36.742,139.45.36.089,0,0,0,0,0,0,,,0,0,,,0,,,0,,,0,,0,–{‹½’Ê‚è,0,2.2
00001B000000000309CEDF2662E0FFC3,00001B000000000309CEDF2662E0FFC2,00001B000000000309CEDF2662E0FFC1,4,,,,,,0,0,3,35.42.36.647,139.45.36.112,0,,,0,0,,,0,1,35.42.36.630,139.45.36.118,0,0,0,0,0,0,,,0,0,,,0,,,0,,,0,,0,–{‹½’Ê‚è,0,2.4
00001B000000000309CEFB2662D97FC3,00001B000000000309CEFB2662D97FC2,00001B000000000309CEFB2662D97FC1,4,,,,,,0,0,3,35.42.42.254,139.45.34.679,0,,,0,0,,,0,1,35.42.42.255,139.45.34.680,0,0,0,0,0,0,,,0,0,,,0,,,0,,,0,,0,–{‹½’Ê‚è,0,2
00001B000000000309CEFAA662D97FC1,00001B000000000309CEFB2662D97FC1,00001B000000000309CEFAA662D9FFC1,4,,,,,,0,0,3,35.42.42.194,139.45.34.695,0,,,0,0,,,0,1,35.42.42.195,139.45.34.696,0,0,0,0,0,0,,,0,0,,,0,,,0,,,0,,0,–{‹½’Ê‚è,0,1.8
00001B000000000309CF002662D87FC1,00001B000000000309CF00A662D7FFC1,00001B000000000309CEFFA662D87FC1,4,,,,,,0,0,3,35.42.43.247,139.45.34.414,0,,,0,0,,,0,1,35.42.43.248,139.45.34.415,0,0,0,0,0,0,,,0,0,,,0,,,3,35.42.43.315,139.45.34.395,0,,0,–{‹½’Ê‚è,0,4
00001B000000000309CEFFA662D87FC2,00001B000000000309CEFFA662D87FC1,00001B000000000309CEFF2662D87FC1,4,,,,,,0,0,3,35.42.43.110,139.45.34.450,0,,,0,0,,,0,1,35.42.43.111,139.45.34.451,0,0,0,0,0,0,,,0,0,,,0,,,0,,,0,,0,–{‹½’Ê‚è,0,4.6
00001B000000000309CF0B2662D57FC3,00001B000000000309CF0B2662D57FC2,00001B000000000309CF0B2662D57FC1,4,,,,,,0,0,3,35.42.45.454,139.45.33.835,0,,,0,0,,,0,1,35.42.45.467,139.45.33.833,0,0,0,0,0,0,,,0,0,,,0,,,0,,,0,,0,–{‹½’Ê‚è,0,1.9
00001B000000000309CF0AA662D57FC2,00001B000000000309CF0B2662D57FC1,00001B000000000309CF0AA662D57FC1,4,,,,,,0,0,3,35.42.45.389,139.45.33.852,0,,,0,0,,,0,1,35.42.45.370,139.45.33.859,0,0,0,0,0,0,,,0,0,,,0,,,0,,,0,,0,–{‹½’Ê‚è,0,2.3
00001B000000000309CF132662D37FC2,00001B000000000309CF13A662D2FFC1,00001B000000000309CF132662D37FC1,5,,,,,,0,0,3,35.42.47.058,139.45.33.412,0,,,0,0,,,0,1,35.42.47.100,139.45.33.402,0,0,0,0,0,0,,,0,0,,,0,,,0,,,0,,0,–{‹½’Ê‚è,0,3.5
00001B000000000309CF12A662D37FC1,00001B000000000309CF132662D37FC1,00001B000000000309CF122662D37FC1,5,,,,,,0,0,3,35.42.46.950,139.45.33.441,0,,,0,0,,,0,1,35.42.46.923,139.45.33.449,0,0,0,0,0,0,,,0,0,,,0,,,0,,,0,,0,–{‹½’Ê‚è,0,3.3
